Timestamp,Sensor_id_s,ax,ay,az,mx,my,mz,gx,gy,gz,Sensor_id_e
1644541152.9696982,2,8.00,3.30,4.68,0.00,0.00,0.00,-0.01,-0.05,0.01,2
1644541152.970699,1,-6.10,7.34,1.31,0.00,0.00,0.00,-0.07,0.02,-0.00,1
1644541152.970699,2,7.97,3.40,4.74,0.00,0.00,0.00,-0.02,0.01,0.01,2
1644541152.971699,1,-6.13,7.27,1.29,0.00,0.00,0.00,-0.03,0.03,0.00,1
1644541152.9726992,2,7.97,3.40,4.74,0.00,0.00,0.00,-0.02,0.03,0.00,2
1644541152.9736998,1,-6.13,7.27,1.29,0.00,0.00,0.00,-0.03,0.03,0.00,1
1644541152.9736998,2,7.99,3.35,4.78,0.00,0.00,0.00,-0.02,0.04,0.01,2
1644541152.9746997,1,-6.18,7.29,1.36,0.00,0.00,0.00,-0.02,0.02,0.00,1
1644541152.9757,2,7.95,3.39,4.94,0.00,0.00,0.00,-0.02,0.04,0.00,2
1644541152.9757,1,-6.16,7.32,1.31,0.00,0.00,0.00,-0.02,0.02,-0.00,1
1644541152.9767,2,7.95,3.39,4.94,0.00,0.00,0.00,-0.02,0.02,0.02,2
1644541152.9777,1,-6.16,7.32,1.31,0.00,0.00,0.00,-0.02,0.02,-0.00,1
1644541152.9787006,2,7.85,3.45,4.93,0.00,0.00,0.00,-0.01,-0.01,0.02,2
1644541152.9787006,1,-6.12,7.28,1.35,0.00,0.00,0.00,-0.01,0.01,-0.00,1
1644541152.9797008,2,7.88,3.43,4.81,0.00,0.00,0.00,0.02,-0.04,0.04,2
1644541152.980701,1,-6.12,7.28,1.35,0.00,0.00,0.00,-0.02,0.00,0.00,1
1644541152.9817014,2,7.88,3.43,4.81,0.00,0.00,0.00,0.02,-0.03,0.05,2
1644541152.9817014,1,-6.18,7.29,1.34,0.00,0.00,0.00,-0.03,-0.01,0.01,1
1644541152.9827013,2,7.93,3.31,4.75,0.00,0.00,0.00,0.02,-0.02,0.04,2
1644541152.983702,1,-6.22,7.37,1.42,0.00,0.00,0.00,-0.04,-0.00,0.02,1
1644541152.9847019,2,7.93,3.31,4.75,0.00,0.00,0.00,0.02,0.00,0.04,2
1644541152.9847019,1,-6.22,7.37,1.42,0.00,0.00,0.00,-0.04,-0.01,0.02,1
1644541152.985702,2,7.80,3.21,4.78,0.00,0.00,0.00,0.02,0.02,0.04,2
1644541152.9867024,1,-6.16,7.49,1.45,0.00,0.00,0.00,-0.04,0.00,0.01,1
1644541152.9867024,2,7.76,3.29,4.90,0.00,0.00,0.00,0.02,0.04,0.03,2
1644541152.9877026,1,-6.21,7.48,1.38,0.00,0.00,0.00,-0.02,0.03,-0.00,1
1644541152.9887028,2,7.76,3.29,4.90,0.00,0.00,0.00,0.01,0.05,0.02,2
1644541152.989703,1,-6.21,7.48,1.38,0.00,0.00,0.00,-0.01,0.03,-0.01,1
1644541152.989703,2,7.73,3.32,5.03,0.00,0.00,0.00,0.01,0.02,0.01,2
1644541152.9907036,1,-6.14,7.42,1.44,0.00,0.00,0.00,0.01,0.05,-0.01,1
1644541152.991704,2,7.73,3.32,5.03,0.00,0.00,0.00,0.02,-0.01,0.01,2
1644541152.991704,1,-6.14,7.42,1.44,0.00,0.00,0.00,0.00,0.05,-0.02,1
1644541152.9927037,2,7.73,3.40,4.93,0.00,0.00,0.00,0.01,-0.03,0.02,2
1644541152.9937038,1,-6.08,7.34,1.40,0.00,0.00,0.00,-0.01,0.04,-0.01,1
1644541152.9947042,2,7.77,3.34,4.90,0.00,0.00,0.00,0.01,-0.03,0.02,2
1644541152.9947042,1,-6.09,7.21,1.46,0.00,0.00,0.00,-0.03,0.04,-0.00,1
1644541152.9957044,2,7.77,3.34,4.90,0.00,0.00,0.00,0.02,-0.01,0.03,2
1644541152.9967046,1,-6.09,7.21,1.46,0.00,0.00,0.00,-0.04,0.04,0.00,1
1644541152.997705,2,7.66,3.22,4.82,0.00,0.00,0.00,0.02,-0.01,0.02,2
1644541152.997705,1,-6.14,7.27,1.36,0.00,0.00,0.00,-0.04,0.04,0.01,1
1644541152.9987051,2,7.74,3.20,4.79,0.00,0.00,0.00,0.02,0.00,0.01,2
1644541152.9997056,1,-6.13,7.32,1.31,0.00,0.00,0.00,-0.03,0.04,0.02,1
1644541153.0007052,2,7.74,3.20,4.79,0.00,0.00,0.00,0.01,0.02,-0.00,2
1644541153.0007052,1,-6.13,7.32,1.31,0.00,0.00,0.00,-0.03,0.02,0.02,1
1644541153.0017056,2,7.69,3.24,4.85,0.00,0.00,0.00,0.01,0.02,-0.01,2
1644541153.0027058,1,-6.14,7.32,1.31,0.00,0.00,0.00,-0.04,-0.00,0.01,1
1644541153.0027058,2,7.69,3.24,4.85,0.00,0.00,0.00,0.00,0.02,-0.01,2
1644541153.0037065,1,-6.14,7.32,1.31,0.00,0.00,0.00,-0.05,-0.01,0.01,1
1644541153.0047066,2,7.71,3.27,4.90,0.00,0.00,0.00,0.00,0.02,-0.04,2
1644541153.0057065,1,-6.14,7.28,1.35,0.00,0.00,0.00,-0.03,-0.02,0.00,1
1644541153.0057065,2,7.84,3.25,4.87,0.00,0.00,0.00,-0.00,0.02,-0.04,2
1644541153.0067072,1,-6.15,7.33,1.36,0.00,0.00,0.00,-0.01,-0.02,0.01,1
1644541153.007707,2,7.84,3.25,4.87,0.00,0.00,0.00,0.00,0.02,-0.04,2
